oyuncu,takim,tum_takimlar,transfer,mac_sayisi,ilk11_mac,yedek_mac,gol_sayisi,gol_ayak,gol_kafa,penalti_gol,gol_ort,sari_kart,kirmizi_kart,toplam_dakika
JELENA KARLİCİC,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI / FATİH VATAN SPOR,True,25,24,1,12,10,2,0,0.48,2,0,2036
JULIETTE NANA,PROLİFT GİRESUN SANAYİSPOR,PROLİFT GİRESUN SANAYİSPOR / FATİH VATAN SPOR,True,25,23,2,9,9,0,0,0.36,1,0,1986
REGINA IBIANG OTU,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,False,25,25,0,5,4,1,0,0.2,2,0,2145
VANESA LEVENAJ,PROLİFT GİRESUN SANAYİSPOR,PROLİFT GİRESUN SANAYİSPOR,False,25,25,0,1,1,0,0,0.04,4,0,2154
MARIE GISELE DIVINE NGAH MANGA,GALATASARAY GAIN,GALATASARAY GAIN,False,24,15,9,27,22,4,1,1.12,0,0,1406
ANDREA STASKOVA,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,False,24,20,4,20,13,3,4,0.83,0,0,1601
FLOURISH CHIOMA SABASTINE,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,False,24,24,0,11,11,0,0,0.46,6,0,1970
MESUARE BEGALLO,ÜNYE KADIN SPOR KULÜBÜ,ÜNYE KADIN SPOR KULÜBÜ,False,24,22,2,9,8,0,1,0.38,1,0,2018
BUSEM ŞEKER,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,False,24,23,1,8,7,0,1,0.33,2,1,1924
MILICA MIJATOVIC,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,False,24,17,7,7,6,0,1,0.29,2,0,1419
MARIJA ALEKSIC,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,False,24,24,0,7,4,2,1,0.29,4,0,1995
FADIMATOU ARETOUYAP KOME,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,False,24,24,0,6,6,0,0,0.25,0,0,2080
PERİTAN BOZDAĞ,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,False,24,11,13,5,5,0,0,0.21,1,0,1037
ELİZABETH OPPONG,HAKKARİGÜCÜ SPOR,HAKKARİGÜCÜ SPOR,False,24,23,1,3,2,1,0,0.12,1,0,2025
NAIMA LAMARI,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,False,24,24,0,2,1,1,0,0.08,1,0,2148
EMİNE YAREN ÇOLAK,HAKKARİGÜCÜ SPOR,HAKKARİGÜCÜ SPOR,False,24,22,2,2,2,0,0,0.08,1,0,1814
AMINATA HAIDARA,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI / FATİH VATAN SPOR,True,24,16,8,1,1,0,0,0.04,7,0,1431
ZOE VAN EYNDE,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,False,24,20,4,1,1,0,0,0.04,1,0,1585
BEYZA EMİNE SARUHAN,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,False,24,24,0,0,0,0,0,0.0,0,0,2152
MARY ATINUKE SAIKI,AMED SPORTİF FAALİYETLER,AMED SPORTİF FAALİYETLER,False,24,24,0,0,0,0,0,0.0,3,0,2072
MELISSA SANDRINE BEHINAN,AMED SPORTİF FAALİYETLER,AMED SPORTİF FAALİYETLER,False,23,23,0,7,6,0,1,0.3,5,0,1949
SULIAT OLAJUMOKE ABIDEEN,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,False,23,20,3,7,7,0,0,0.3,0,0,1761
RASMATA SAWADOGO,HAKKARİGÜCÜ SPOR,HAKKARİGÜCÜ SPOR,False,23,23,0,5,3,0,2,0.22,4,0,2070
CHANG JANG,GALATASARAY GAIN,GALATASARAY GAIN,False,23,22,1,3,3,0,0,0.13,2,0,1798
ÖZNUR TAŞ,AMED SPORTİF FAALİYETLER,AMED SPORTİF FAALİYETLER,False,23,23,0,3,2,1,0,0.13,3,0,2040
CHIOMA OLISE,TRABZONSPOR A.Ş.,TRABZONSPOR A.Ş.,False,23,21,2,3,3,0,0,0.13,3,0,1712
MARIA APARECIDA SOUZA ALVES,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ / FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,True,23,22,1,2,2,0,0,0.09,0,0,1766
CANSU NUR KAYA,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI / FATİH VATAN SPOR,True,23,17,6,0,0,0,0,0.0,6,0,1449
KEZBAN TAĞ,GALATASARAY GAIN,GALATASARAY GAIN,False,23,11,12,0,0,0,0,0.0,0,0,1135
SUDENUR YOLCU,ÜNYE KADIN SPOR KULÜBÜ,ÜNYE KADIN SPOR KULÜBÜ,False,23,23,0,0,0,0,0,0.0,3,0,2040
NATALIA OLESZKIEWICZ,TRABZONSPOR A.Ş.,TRABZONSPOR A.Ş.,False,22,21,1,30,26,4,0,1.36,5,0,1885
DONJETA HALILAJ,TRABZONSPOR A.Ş.,TRABZONSPOR A.Ş.,False,22,22,0,19,14,2,3,0.86,6,0,1903
SAMARIA SARAI GOMEZ MEJIA,AMED SPORTİF FAALİYETLER,AMED SPORTİF FAALİYETLER,False,22,20,2,9,6,1,2,0.41,2,0,1763
MELİKE DİNÇEL,ÇEKMEKÖY BİLGİDOĞA,ÇEKMEKÖY BİLGİDOĞA / ŞİLE BİLGİDOĞA SPORTİF YATIRIM HİZMETLERİ A.Ş,True,22,22,0,9,9,0,0,0.41,1,0,1939
MARTA NAIZIA DA SILVA CINTRA,GALATASARAY GAIN,GALATASARAY GAIN,False,22,16,6,8,8,0,0,0.36,1,0,1411
EBRU TOPÇU,GALATASARAY GAIN,GALATASARAY GAIN,False,22,21,1,8,6,1,1,0.36,0,0,1832
ECE TÜRKOĞLU,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,False,22,20,2,6,6,0,0,0.27,3,0,1736
JULIA HICKELSBERGEN FULLER,GALATASARAY GAIN,GALATASARAY GAIN,False,22,21,1,5,4,1,0,0.23,5,0,1794
ANA INES COSTA MENDES DIAS,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,False,22,8,14,4,3,1,0,0.18,1,0,804
KEVSER KARTAL,AMED SPORTİF FAALİYETLER,AMED SPORTİF FAALİYETLER,False,22,21,1,4,3,0,1,0.18,2,0,1901
İPEK KAYA,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,False,22,21,1,4,2,2,0,0.18,6,0,1777
EZMİRALDA FRANJA,ÜNYE KADIN SPOR KULÜBÜ,ÜNYE KADIN SPOR KULÜBÜ,False,22,22,0,3,3,0,0,0.14,3,1,1939
SUHDE NUR ARPACI,ÜNYE KADIN SPOR KULÜBÜ,ÜNYE KADIN SPOR KULÜBÜ,False,22,22,0,3,1,2,0,0.14,5,0,1861
MATEJA ZVER,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,False,22,12,10,3,2,1,0,0.14,1,0,1110
NEVCAN KELEŞ,PROLİFT GİRESUN SANAYİSPOR,PROLİFT GİRESUN SANAYİSPOR,False,22,22,0,3,3,0,0,0.14,0,0,1980
NESLİHAN DEMİRDÖGEN,PROLİFT GİRESUN SANAYİSPOR,PROLİFT GİRESUN SANAYİSPOR,False,22,15,7,3,2,1,0,0.14,3,0,1407
EDA KARATAŞ,GALATASARAY GAIN,GALATASARAY GAIN,False,22,22,0,2,1,1,0,0.09,5,0,1906
SUZZY DEDE TEYE,YÜKSEKOVA SPOR KULÜBÜ,YÜKSEKOVA SPOR KULÜBÜ,False,22,22,0,2,2,0,0,0.09,3,0,1926
LUSHOMO MWEEMBA,HAKKARİGÜCÜ SPOR,HAKKARİGÜCÜ SPOR,False,22,22,0,2,2,0,0,0.09,2,0,1980
